student_id,name,usn,semester,branch,attendance_pct,assignment_score,cie1_score,cie2_score,lab_exam_score,viva_score,subject_code,subject_name
S001,Aarav Sharma,1VT21RAI001,3,RAI,94.3,18.5,38.1,33.3,40.9,13.7,21MAT31,Engineering Mathematics III
S001,Aarav Sharma,1VT21RAI001,3,RAI,95.8,17.3,44.9,44.4,39.5,12.6,21RAI32,Mechanics of Materials
S001,Aarav Sharma,1VT21RAI001,3,RAI,94.4,18.9,36.6,37.9,39.7,9.8,21RAI33,Analog & Digital Electronics
S001,Aarav Sharma,1VT21RAI001,3,RAI,98.1,18.7,38.4,43.5,40,16.6,21RAI34,Industrial Robotics
S001,Aarav Sharma,1VT21RAI001,3,RAI,96.4,11.8,23.6,35.7,33.5,15.8,21RAIL35,Analog & Digital Electronics Lab
S002,Priya Nair,1VT21RAI002,3,RAI,59.7,5.9,15.2,16.1,20.8,7.9,21MAT31,Engineering Mathematics III
S002,Priya Nair,1VT21RAI002,3,RAI,61.4,12.4,21.7,18.2,21.1,6,21RAI32,Mechanics of Materials
S002,Priya Nair,1VT21RAI002,3,RAI,56.8,16.4,14.1,14.7,29.6,10.3,21RAI33,Analog & Digital Electronics
S002,Priya Nair,1VT21RAI002,3,RAI,64.4,14.1,19.1,14.5,21.9,9.7,21RAI34,Industrial Robotics
S002,Priya Nair,1VT21RAI002,3,RAI,53.4,8.7,12.9,20.1,24.1,11.2,21RAIL35,Analog & Digital Electronics Lab
S003,Rohan Desai,1VT21RAI003,3,RAI,78.6,11.2,32,26.4,30.8,12,21MAT31,Engineering Mathematics III
S003,Rohan Desai,1VT21RAI003,3,RAI,80.2,8.6,22,26.5,33.4,13.1,21RAI32,Mechanics of Materials
S003,Rohan Desai,1VT21RAI003,3,RAI,86,14.5,36,37.1,34.6,8.8,21RAI33,Analog & Digital Electronics
S003,Rohan Desai,1VT21RAI003,3,RAI,89.5,18.3,33.9,45.8,33.4,16.6,21RAI34,Industrial Robotics
S003,Rohan Desai,1VT21RAI003,3,RAI,81,11.4,28.9,38.7,40.7,12.7,21RAIL35,Analog & Digital Electronics Lab
S004,Sneha Kulkarni,1VT21RAI004,3,RAI,67.8,7.1,13.6,18.7,30.6,3.6,21MAT31,Engineering Mathematics III
S004,Sneha Kulkarni,1VT21RAI004,3,RAI,70.2,5.9,12.8,17.1,9.5,6,21RAI32,Mechanics of Materials
S004,Sneha Kulkarni,1VT21RAI004,3,RAI,64.7,6,24,16,22.9,1.4,21RAI33,Analog & Digital Electronics
S004,Sneha Kulkarni,1VT21RAI004,3,RAI,63.8,11.7,6.2,21.6,21.4,9.3,21RAI34,Industrial Robotics
S004,Sneha Kulkarni,1VT21RAI004,3,RAI,64.2,7.1,10,19.3,20.3,11.1,21RAIL35,Analog & Digital Electronics Lab
S005,Kiran Reddy,1VT21RAI005,3,RAI,78.9,14.3,32.4,37.2,44.4,11.4,21MAT31,Engineering Mathematics III
S005,Kiran Reddy,1VT21RAI005,3,RAI,89.1,14.8,32.6,28.6,38.3,11.4,21RAI32,Mechanics of Materials
S005,Kiran Reddy,1VT21RAI005,3,RAI,99.9,17.3,39.8,50,38.2,13.4,21RAI33,Analog & Digital Electronics
S005,Kiran Reddy,1VT21RAI005,3,RAI,99.7,15.3,39.1,44.5,32,9.2,21RAI34,Industrial Robotics
S005,Kiran Reddy,1VT21RAI005,3,RAI,91.5,13.8,39,39.7,32.4,14.1,21RAIL35,Analog & Digital Electronics Lab
S006,Divya Menon,1VT21RAI006,3,RAI,43.2,5.2,6.6,15,16.1,2.4,21MAT31,Engineering Mathematics III
S006,Divya Menon,1VT21RAI006,3,RAI,52.4,5.9,15.8,15.9,32.2,0.5,21RAI32,Mechanics of Materials
S006,Divya Menon,1VT21RAI006,3,RAI,44,7.8,22.8,15.3,32.9,3.9,21RAI33,Analog & Digital Electronics
S006,Divya Menon,1VT21RAI006,3,RAI,41.7,5.9,12.9,13.2,19.7,0,21RAI34,Industrial Robotics
S006,Divya Menon,1VT21RAI006,3,RAI,48.6,14.1,10.8,19.3,43.7,3.7,21RAIL35,Analog & Digital Electronics Lab
S007,Arjun Patil,1VT21RAI007,3,RAI,100,18.5,47.2,41.4,29.4,14,21MAT31,Engineering Mathematics III
S007,Arjun Patil,1VT21RAI007,3,RAI,100,14.1,45.8,50,50,18.4,21RAI32,Mechanics of Materials
S007,Arjun Patil,1VT21RAI007,3,RAI,91.9,15.8,40.7,45,45,13.8,21RAI33,Analog & Digital Electronics
S007,Arjun Patil,1VT21RAI007,3,RAI,91,13.1,39.3,26.6,35.3,14.5,21RAI34,Industrial Robotics
S007,Arjun Patil,1VT21RAI007,3,RAI,100,20,44,44.3,43.6,20,21RAIL35,Analog & Digital Electronics Lab
S008,Meera Iyer,1VT21RAI008,3,RAI,100,14.3,38,38.5,32.2,18.7,21MAT31,Engineering Mathematics III
S008,Meera Iyer,1VT21RAI008,3,RAI,72.9,14.6,32,35.8,28.3,5.4,21RAI32,Mechanics of Materials
S008,Meera Iyer,1VT21RAI008,3,RAI,72.6,11,24,20.4,19.3,3.2,21RAI33,Analog & Digital Electronics
S008,Meera Iyer,1VT21RAI008,3,RAI,81.9,16.6,33.6,30.7,41.1,10.6,21RAI34,Industrial Robotics
S008,Meera Iyer,1VT21RAI008,3,RAI,72.9,11.4,14.3,27.9,33.9,8.4,21RAIL35,Analog & Digital Electronics Lab
S009,Vikram Singh,1VT21RAI009,3,RAI,98.5,14.3,31.7,33.2,32.8,9.5,21MAT31,Engineering Mathematics III
S009,Vikram Singh,1VT21RAI009,3,RAI,85.5,18.2,34.2,36.6,27.5,12.6,21RAI32,Mechanics of Materials
S009,Vikram Singh,1VT21RAI009,3,RAI,84.4,13.3,22.7,38.6,32.2,5.1,21RAI33,Analog & Digital Electronics
S009,Vikram Singh,1VT21RAI009,3,RAI,84.1,14.4,33.2,34.8,21.5,8.5,21RAI34,Industrial Robotics
S009,Vikram Singh,1VT21RAI009,3,RAI,96.7,19.5,43.9,26.6,41.6,8.1,21RAIL35,Analog & Digital Electronics Lab
S010,Ananya Joshi,1VT21RAI010,3,RAI,61.8,18,25.8,15.1,32.1,6.5,21MAT31,Engineering Mathematics III
S010,Ananya Joshi,1VT21RAI010,3,RAI,66.1,16.2,16.2,26.9,40.9,6.6,21RAI32,Mechanics of Materials
S010,Ananya Joshi,1VT21RAI010,3,RAI,71.1,11.2,27.9,27.2,24.6,13.6,21RAI33,Analog & Digital Electronics
S010,Ananya Joshi,1VT21RAI010,3,RAI,70.1,12,21.8,33.9,31,10.7,21RAI34,Industrial Robotics
S010,Ananya Joshi,1VT21RAI010,3,RAI,72.8,12.1,28.1,25.3,36.2,10.7,21RAIL35,Analog & Digital Electronics Lab
S011,Rahul Verma,1VT21RAI011,3,RAI,82.8,12.8,25.9,37.2,33.8,15.3,21MAT31,Engineering Mathematics III
S011,Rahul Verma,1VT21RAI011,3,RAI,98.3,14.8,42.6,46.1,34.2,15.8,21RAI32,Mechanics of Materials
S011,Rahul Verma,1VT21RAI011,3,RAI,89.4,14.2,32,46.7,36.5,11.2,21RAI33,Analog & Digital Electronics
S011,Rahul Verma,1VT21RAI011,3,RAI,97.4,13.5,38.7,41.9,40,16.9,21RAI34,Industrial Robotics
S011,Rahul Verma,1VT21RAI011,3,RAI,98.2,13,34,44,42.6,13.3,21RAIL35,Analog & Digital Electronics Lab
S012,Pooja Pillai,1VT21RAI012,3,RAI,75.2,9.6,20.7,27.2,15.4,9.8,21MAT31,Engineering Mathematics III
S012,Pooja Pillai,1VT21RAI012,3,RAI,74.4,14,26,21.9,23,10.2,21RAI32,Mechanics of Materials
S012,Pooja Pillai,1VT21RAI012,3,RAI,71.4,7.7,19,21.7,22.4,9.8,21RAI33,Analog & Digital Electronics
S012,Pooja Pillai,1VT21RAI012,3,RAI,76.4,8.5,27.1,28.1,35.9,6.8,21RAI34,Industrial Robotics
S012,Pooja Pillai,1VT21RAI012,3,RAI,77.7,11,23.3,16.7,33.4,10.3,21RAIL35,Analog & Digital Electronics Lab
S013,Aditya Bhat,1VT21RAI013,3,RAI,98.8,18.9,45.6,50,33.6,18,21MAT31,Engineering Mathematics III
S013,Aditya Bhat,1VT21RAI013,3,RAI,76.9,11.2,25.3,39.5,32.6,11.3,21RAI32,Mechanics of Materials
S013,Aditya Bhat,1VT21RAI013,3,RAI,100,13.9,47,37.4,34.1,15.2,21RAI33,Analog & Digital Electronics
S013,Aditya Bhat,1VT21RAI013,3,RAI,100,18.5,38,43.2,38.7,18.1,21RAI34,Industrial Robotics
S013,Aditya Bhat,1VT21RAI013,3,RAI,99.3,20,42.2,46.2,47.7,20,21RAIL35,Analog & Digital Electronics Lab
S014,Lakshmi Subramaniam,1VT21RAI014,3,RAI,57.8,11.6,14.5,21.2,12.1,9.1,21MAT31,Engineering Mathematics III
S014,Lakshmi Subramaniam,1VT21RAI014,3,RAI,56.9,11.3,9,17.2,21.1,3.3,21RAI32,Mechanics of Materials
S014,Lakshmi Subramaniam,1VT21RAI014,3,RAI,80.3,7.1,18,31.3,20.6,8.4,21RAI33,Analog & Digital Electronics
S014,Lakshmi Subramaniam,1VT21RAI014,3,RAI,71.3,10,21.2,18.8,32.7,6.4,21RAI34,Industrial Robotics
S014,Lakshmi Subramaniam,1VT21RAI014,3,RAI,63.4,11,18.9,20.9,21.2,9.3,21RAIL35,Analog & Digital Electronics Lab
S015,Suresh Gowda,1VT21RAI015,3,RAI,94.4,18,41.6,40.5,38.4,15.8,21MAT31,Engineering Mathematics III
S015,Suresh Gowda,1VT21RAI015,3,RAI,82,15.8,23.3,34.7,39.1,15.2,21RAI32,Mechanics of Materials
S015,Suresh Gowda,1VT21RAI015,3,RAI,95.5,15.8,32,32,31,10.3,21RAI33,Analog & Digital Electronics
S015,Suresh Gowda,1VT21RAI015,3,RAI,88.9,17.9,36.7,43.6,44.6,11.8,21RAI34,Industrial Robotics
S015,Suresh Gowda,1VT21RAI015,3,RAI,84.1,11.2,35.9,40.5,38.3,10.8,21RAIL35,Analog & Digital Electronics Lab
S016,Nandini Rao,1VT21RAI016,3,RAI,88.6,14.5,28.6,40.4,38.9,11,21MAT31,Engineering Mathematics III
S016,Nandini Rao,1VT21RAI016,3,RAI,91,15.8,31.8,47.2,45.8,16.2,21RAI32,Mechanics of Materials
S016,Nandini Rao,1VT21RAI016,3,RAI,100,20,39.2,35.8,31.5,15.2,21RAI33,Analog & Digital Electronics
S016,Nandini Rao,1VT21RAI016,3,RAI,91.2,18.7,28.6,48.1,46.6,10.3,21RAI34,Industrial Robotics
S016,Nandini Rao,1VT21RAI016,3,RAI,88,12.8,32.5,22.9,37.2,17,21RAIL35,Analog & Digital Electronics Lab
S017,Deepak Hegde,1VT21RAI017,3,RAI,36.4,7.7,9.6,22.4,16.2,3.1,21MAT31,Engineering Mathematics III
S017,Deepak Hegde,1VT21RAI017,3,RAI,45.6,3.8,14,13.6,18.4,5.6,21RAI32,Mechanics of Materials
S017,Deepak Hegde,1VT21RAI017,3,RAI,49.1,10.1,5.7,22,12.8,2.3,21RAI33,Analog & Digital Electronics
S017,Deepak Hegde,1VT21RAI017,3,RAI,55.4,13,20.7,10.2,23.5,4.9,21RAI34,Industrial Robotics
S017,Deepak Hegde,1VT21RAI017,3,RAI,31.4,5,12.2,13.2,10.5,1.5,21RAIL35,Analog & Digital Electronics Lab
S018,Kavitha Krishnan,1VT21RAI018,3,RAI,77,12.7,26.5,24.2,29.5,8,21MAT31,Engineering Mathematics III
S018,Kavitha Krishnan,1VT21RAI018,3,RAI,89.4,14.3,33.5,24.8,30.2,12.2,21RAI32,Mechanics of Materials
S018,Kavitha Krishnan,1VT21RAI018,3,RAI,76.4,15.1,35.3,30.4,33.8,12,21RAI33,Analog & Digital Electronics
S018,Kavitha Krishnan,1VT21RAI018,3,RAI,91.2,14.4,33.1,30.4,32.2,15.1,21RAI34,Industrial Robotics
S018,Kavitha Krishnan,1VT21RAI018,3,RAI,84.1,12.4,33.2,27,39.8,8.5,21RAIL35,Analog & Digital Electronics Lab
S019,Sanjay Naik,1VT21RAI019,3,RAI,71.4,11.3,26.1,20.7,27.6,5.4,21MAT31,Engineering Mathematics III
S019,Sanjay Naik,1VT21RAI019,3,RAI,77.9,13.2,25.4,22.5,26,10.3,21RAI32,Mechanics of Materials
S019,Sanjay Naik,1VT21RAI019,3,RAI,70.7,6.9,21.1,18.7,17.8,7.1,21RAI33,Analog & Digital Electronics
S019,Sanjay Naik,1VT21RAI019,3,RAI,69.6,10,15.8,13.1,13.4,5.6,21RAI34,Industrial Robotics
S019,Sanjay Naik,1VT21RAI019,3,RAI,64.4,8.8,12.8,13.9,19.4,6.2,21RAIL35,Analog & Digital Electronics Lab
S020,Riya Fernandes,1VT21RAI020,3,RAI,82.4,13.8,32.3,41.2,33,9,21MAT31,Engineering Mathematics III
S020,Riya Fernandes,1VT21RAI020,3,RAI,70,14.7,19.2,21.8,20.5,6.8,21RAI32,Mechanics of Materials
S020,Riya Fernandes,1VT21RAI020,3,RAI,79.5,11.3,32.8,32.2,39.1,13.7,21RAI33,Analog & Digital Electronics
S020,Riya Fernandes,1VT21RAI020,3,RAI,78,14.6,32.6,29.2,26.2,13.9,21RAI34,Industrial Robotics
S020,Riya Fernandes,1VT21RAI020,3,RAI,83.1,14.5,35.7,33.8,34.3,13,21RAIL35,Analog & Digital Electronics Lab
S001,Aarav Sharma,1VT21RAI001,4,RAI,100,16.2,50,42,41.8,15.3,21RAI41,Operation Research
S001,Aarav Sharma,1VT21RAI001,4,RAI,100,15.4,47.3,50,42.1,13.9,21RAI42,Instrumentation & Measurements
S001,Aarav Sharma,1VT21RAI001,4,RAI,94.5,17.9,38.8,47,35.8,11,21RAI43,Fundamentals of AI for Robotics
S001,Aarav Sharma,1VT21RAI001,4,RAI,100,16.4,50,47.7,34.4,13.9,21RAI44,Python Programming
S001,Aarav Sharma,1VT21RAI001,4,RAI,91.8,20,37.9,48.3,50,15.6,21RAIL46,CAMD Lab
S002,Priya Nair,1VT21RAI002,4,RAI,54.3,9.6,14,8.7,18.3,3.4,21RAI41,Operation Research
S002,Priya Nair,1VT21RAI002,4,RAI,41.5,1.4,12.9,21.7,23.7,2.3,21RAI42,Instrumentation & Measurements
S002,Priya Nair,1VT21RAI002,4,RAI,56,9.9,11.5,14.9,30.7,4.8,21RAI43,Fundamentals of AI for Robotics
S002,Priya Nair,1VT21RAI002,4,RAI,52,8.6,8.1,13.9,10.4,4.2,21RAI44,Python Programming
S002,Priya Nair,1VT21RAI002,4,RAI,63,10,14.1,19.2,32.1,5.6,21RAIL46,CAMD Lab
S003,Rohan Desai,1VT21RAI003,4,RAI,80.4,17.6,17.6,35.6,20,10,21RAI41,Operation Research
S003,Rohan Desai,1VT21RAI003,4,RAI,91.6,6.9,24.1,32.8,34.8,10.2,21RAI42,Instrumentation & Measurements
S003,Rohan Desai,1VT21RAI003,4,RAI,77.4,13.7,25.3,32.8,37.9,14.5,21RAI43,Fundamentals of AI for Robotics
S003,Rohan Desai,1VT21RAI003,4,RAI,82.2,14.3,28.4,31.6,23.8,12,21RAI44,Python Programming
S003,Rohan Desai,1VT21RAI003,4,RAI,77,9.9,33.7,29.2,41.8,11,21RAIL46,CAMD Lab
S004,Sneha Kulkarni,1VT21RAI004,4,RAI,66.5,5.3,9.2,15.7,16.4,2.9,21RAI41,Operation Research
S004,Sneha Kulkarni,1VT21RAI004,4,RAI,60,1.7,17.9,13.3,27.5,2.8,21RAI42,Instrumentation & Measurements
S004,Sneha Kulkarni,1VT21RAI004,4,RAI,68.1,2.6,10.6,18.8,14.1,1,21RAI43,Fundamentals of AI for Robotics
S004,Sneha Kulkarni,1VT21RAI004,4,RAI,63.4,12,19.7,34,11.3,6.2,21RAI44,Python Programming
S004,Sneha Kulkarni,1VT21RAI004,4,RAI,69.3,9.3,18.7,13.1,14,0.5,21RAIL46,CAMD Lab
S005,Kiran Reddy,1VT21RAI005,4,RAI,93.5,20,44.6,47.7,31.5,13.3,21RAI41,Operation Research
S005,Kiran Reddy,1VT21RAI005,4,RAI,96.9,19.8,36,43.7,50,16.9,21RAI42,Instrumentation & Measurements
S005,Kiran Reddy,1VT21RAI005,4,RAI,96.2,20,50,45.3,49.6,13.6,21RAI43,Fundamentals of AI for Robotics
S005,Kiran Reddy,1VT21RAI005,4,RAI,100,16,48.8,42,36.6,16,21RAI44,Python Programming
S005,Kiran Reddy,1VT21RAI005,4,RAI,100,20,42.3,48.4,40.5,15.6,21RAIL46,CAMD Lab
S006,Divya Menon,1VT21RAI006,4,RAI,57.5,8.1,14.7,24.1,16.8,2,21RAI41,Operation Research
S006,Divya Menon,1VT21RAI006,4,RAI,54,4.9,17.6,17.4,35,4.6,21RAI42,Instrumentation & Measurements
S006,Divya Menon,1VT21RAI006,4,RAI,39.4,5.3,9.1,7.4,12.9,0.7,21RAI43,Fundamentals of AI for Robotics
S006,Divya Menon,1VT21RAI006,4,RAI,32.3,5.5,7.5,6.8,19.3,3.9,21RAI44,Python Programming
S006,Divya Menon,1VT21RAI006,4,RAI,43,12.1,14.4,17.6,5.2,3.3,21RAIL46,CAMD Lab
S007,Arjun Patil,1VT21RAI007,4,RAI,100,14.9,42.9,37.2,42.1,11,21RAI41,Operation Research
S007,Arjun Patil,1VT21RAI007,4,RAI,100,18.2,40.2,50,36.6,14,21RAI42,Instrumentation & Measurements
